id,batch,date,solute_identifier,secondary_solute_identifier,secondary_solute_ratio,solvent,membrane,permeance,pressure,temperature,process_configuration,rejection,exclude
208,Alpha,1/8/2025,1449110-90-0,None,0.5,Ethanol,GMT-oNF-2,0.195522762,30,21,DE,0.499391391,0
209,Alpha,1/8/2025,14323-06-9,None,0.5,Ethanol,SS336,0.320534523,30,21,DE,0.976551152,0
210,Alpha,1/8/2025,1449110-90-0,None,0.5,Ethanol,SS336,0.320534523,30,21,DE,0.814540224,0
211,Alpha,1/8/2025,14323-06-9,None,0.5,Ethanol,GMT-oNF-2,0.195522762,20,21,DE,0.800788545,0
212,Alpha,1/8/2025,1449110-90-0,None,0.5,Ethanol,GMT-oNF-2,0.195522762,20,21,DE,0.24056656,0
213,Alpha,1/8/2025,14323-06-9,None,0.5,Ethanol,SS336,0.320534523,20,21,DE,0.986719236,0
214,Alpha,1/8/2025,1449110-90-0,None,0.5,Ethanol,SS336,0.320534523,20,21,DE,0.76961381,0
215,Alpha,1/8/2025,14323-06-9,None,0.5,Ethanol,GMT-oNF-2,0.195522762,10,21,DE,0.767586636,0
216,Alpha,1/8/2025,1449110-90-0,None,0.5,Ethanol,GMT-oNF-2,0.195522762,10,21,DE,0.507247981,0
217,Alpha,1/8/2025,14323-06-9,None,0.5,Ethanol,SS336,0.320534523,10,21,DE,0.979871343,0
218,Alpha,1/8/2025,1449110-90-0,None,0.5,Ethanol,SS336,0.320534523,10,21,DE,0.882372469,0
219,RXA131,1/10/2025,1109-15-5,None,0.5,Ethanol,GMT-oNF-2,0.195522762,30,21,DE,-0.039675383,0
220,RXA131,1/10/2025,1109-15-5,None,0.5,Ethanol,SS336,0.320534523,30,21,DE,0.681695221,0
221,RXA131,1/10/2025,1109-15-5,None,0.5,Ethanol,GMT-oNF-2,0.195522762,20,21,DE,0.088367899,0
222,RXA131,1/10/2025,1109-15-5,None,0.5,Ethanol,SS336,0.320534523,20,21,DE,0.632100992,0
223,RXA131,1/10/2025,1109-15-5,None,0.5,Ethanol,GMT-oNF-2,0.195522762,10,21,DE,0.07754734,0
224,RXA131,1/10/2025,1109-15-5,None,0.5,Ethanol,SS336,0.320534523,10,21,DE,0.798917944,0
225,OC1,1/11/2025,632-69-9,None,0.5,Acetonitrile,NFX,0.36,10,21,CF,0.96,0
226,OC1,1/11/2025,18531-99-2,None,0.5,Acetonitrile,NFX,0.36,10,21,CF,0.948,0
227,OC1,1/11/2025,140924-50-1,None,0.5,Acetonitrile,NFX,0.36,10,21,CF,0.954,0
